Gene_name	abundances_CH2879_noINF	abundances_JJ012_noINF
PARN	292224347.556606	441826808.895087
ZBTB38	20595388.8838869	410000985.64265
EXOC6	153348140.996708	197939212.379397
PJA2	11014641268.0414	67134591.4064881
KAT6A	769617727.798227	137683397.017528
CMTR1	15722945.3323743	219103263.73579
ATG9A	29038261.2513828	122663169.920129
FANCD2	378142699.224272	43755046.4519633
COL7A1	320836389.649007	45869979.5939807
PTK7	5908633.72491629	367275169.35026
PC	10445797.9875526	32127339.5366144
ARID1B	637966337.75287	8572058.89798789
UBA2	40926748.0119131	376570369.815854
NUMA1	663731773.126205	147122244.337479
PREP	47756167.0112445	127553169.375099
SOS1	47198292.6697692	307058813.520216
ACTR3	5793500823.81322	182355071.385214
MAGEC2	5746212.23583553	480279031.761741
SIN3A	39140243.0092279	140542174.374554
PYCR1	61374077.543662	4061371.10932053
GTPBP2	458109861.427525	42260198.801191
RPL27	32360264.0750358	56653079.1670378
RPS6KA3	11740517.8857595	50100279.3345813
CLSTN1	4552980.76591018	22727364.7680394
OSBPL8	48060250.2929908	5357386.61801654
UGDH	74242227.0618144	69840889.7086669
LRRC42	740588359.136122	64375754.9912453
SERPINE1	13502667.9152427	2345019.05509959
TIMELESS	7639916.453028	127037220.565821
SLC25A4	84018366.6757077	30084417.6147074
YWHAG	241446268.245429	20222367.8481377
EPPK1	194133222.705184	9780034.63434845
NPHP4	61550972.5411084	13266607.4696593
MRFAP1	0	781106232.044929
EGFR	26276600.2715525	333212910.040077
PIKFYVE	122887960.014305	32893300.7056333
VPS16	4893533745.50248	148424406.216276
MIGA1	44232721.5056347	80885947.3644028
CCT3	4245499.71466249	504319492.198765
TP53	2719677325.03199	213713849.53109
MAP4K4	87197265.8443821	122885522.450702
PTPRN	756282440.086485	858792.618107518
ZNF761	27419354.3105898	272116906.107735
H2AC14	0	0
ZMYM2	29349725.929454	29057637.4246826
CDT1	932151819.450429	2635453.73407059
PIK3R4	261110092.262934	39944940.7547228
PLCE1	72437485.4728656	242738721.75179
PKN1	107746597.223623	5523505029.83607
TNFAIP2	35932584.5322666	122264214.802844
KLHL42	102467491.72891	2811022.47269155
FARSA	153941776.633564	81339120.4023263
DNMBP	62804647.8463342	159102596.290504
PUM2	246011629.996896	31633685.946777
DPYSL2	971143791.266194	128587928.678068
WDR47	66566677.3834596	115737943.747715
ALB	5106608453.61113	8964070398.14799
TUBGCP2	11148199.5974037	40831382.6509605
POGZ	146736183.586665	8373792.22433865
DNAJC3	121177962.586404	461469758.797956
DYNC1LI1	44345520.5274405	75099068.7538923
POLR3A	40567192.7674494	250135738.823268
GPN3	1373571.03697463	596829166.006502
TTC27	11916725.1048235	105357424.490571
MSH3	376697557.25701	104996999.70421
PTPN13	472601227.48353	12412681.0964513
SART1	0	871654840.722626
CCNE2	117087533.03926	70455616.1227226
KPNA2	313136051.815159	883154721.521868
WDR82	8860245.36673304	4251641625.70535
LRCH2	17662306.7297859	3622288.71224178
LSG1	10937167.5463072	435594570.938464
SF3B2	459623210.856436	202337571.956303
STAT6	21492910.2399613	422821549.354822
LONP1	177175589.99448	273944691.998118
CPSF3	457769116.089941	367736018.595986
PKMYT1	542368340.619003	370461485.812048
PDIA4	87033244994.9643	186743825.33223
GTF2I	119295717.875578	478038029.89177
RB1CC1	113406888.455931	250369231.936837
TPX2	87927994.4235158	4131086780.20772
HBB	11812294.6460222	18632840.600782
MARCHF7	2441711456.72142	162502494.528948
DNAH11	38153.6611652223	214250788.86664
SEPTIN10	0	741390421.708194
SEC63	15455591.4714848	11483201.718298
NUP88	79724116.7069203	1067486954.90996
DNAJC10	66311737.3315734	538037793.29773
RNF145	134248141.484339	323648533.823083
KIF4A	15751572.7715192	426367004.462741
MPHOSPH10	18692412.2155489	230674191.568773
SCAP	580294699.435349	61874060.4833984
TRIM26	3063936.85494539	316189832.22119
BCAR1	472319449.953998	126432286.746809
UBE4A	5746940.88292732	108461927.554441
NT5C2	532441313.559241	21968142.4303062
BRAT1	109562298.19353	1447339970.52167
MAGED4; MAGED4B	206731506.764217	5545725.72831588
INTS6	55469451.8925145	88337358.4341651
MMS19	5330915.09258459	68410302.8897728
IFI16	269973763.749521	158828675.434376
AKR1C1	0	47651082.2150351
ZER1	39208183.0621777	464044110.875146
CAVIN1	26681197.3507548	36749106619.6174
APEH	74129459.7193227	138835808.217678
RPL28	1305492450.79436	76196321.5257017
HEXA	198791438.003066	22523821.2477476
ATP6AP1	65230494.22444	234561420.461891
MCMBP	439359625.303428	67877833.6408673
DPP8	0	365920615.602138
L1CAM	30699405.6843029	237060940.111813
FDPS	74328105.0445476	235242408.551973
GMPPA	6915102793.3337	79947733.2469699
PTPRU	174269728.68557	95913489.5842094
AAAS	1195302926.26609	780355655.587199
TFIP11	18206895.7488758	501205403.062949
RSBN1	1441087.3497351	0
PIK3CA	495125267.397665	53654548.3500548
BLTP2	15301498.8133791	435437976.352403
RASA1	160991668.519318	747358590.432469
NOL10	9073294.78434151	757686880.517979
GREB1	58255561.1385963	123929660.938732
TLE4	14359599.3968662	88865483.4941543
CARS1	34667617.5398868	71644121.7052571
GART	11122978.69608	453921565.50572
RPS21	18462661.1971685	68884319.3853272
NUP93	1256731974.56051	831000447.848836
WDR35	5420680.85424183	87325096.0359007
PSMD7	0	253240087.648698
UBQLN1	230029470.990753	35371838.8438789
GRK2	208261083.978105	119419113.153825
SMS	1057027590.49304	174938734.316134
VARS1	131193063.303767	213187015.752736
EIF3M	496657536.089875	680072471.25013
NDUFA8	5246740.84983656	49999628.094753
PTPRM	5027995.31172193	127624187.679265
TTC28	807468457.454564	12537549.183867
DOP1A	13814372.7099244	16222076.86024
ODF2L	46388091.5544987	43807693.8544751
SEC22B	0	1905509626.9101
MSN	0	0
UBE2E2	9356922.97547116	65314605.139744
BTN3A3	122075776.084789	31689999.6364457
STXBP1	200678579.008103	116620059.693352
FBXO42	131508547.044363	41944151.5011604
KIF15	17748010.6766411	81066391.3064686
DDX39B	14890969.5882699	2080102607.78075
VMP1	132575081.671077	853695152.863833
QSOX1	31525565.8360211	4585736245.0289
CDC37	39574698.2880496	597819288.180847
SIL1	36197931.8048924	33902860.9670705
METAP2	7868105.93347334	1322336392.87665
ATP2A2	90182827.6696093	11570867.2044783
CLINT1	580139599.931743	200649009.351815
CAT	11192706.7089509	44339780.4336285
ZMIZ1	137832202.492408	416324471.820596
HYCC1	94274211.2060449	159303629.868266
KCTD3	15597330.7149684	131495847.876175
AHI1	99380701.0387873	181185976.354078
COX4I1	258335921.696601	132473152.242743
FBL	5262263673.56476	4746062.30369718
BFAR	17336868.2625035	11887927.7953265
PIP5K1A	20339234.0643113	32715357.8911762
MEGF8	50355895.9866226	74791305.2762884
DOCK9	118273080.680819	0
C2CD3	29442368.9955373	217503618.088658
NLRP1	107394769.789197	43885877.3318268
FUCA2	124929323.377842	132953244428.358
ETF1	20951564.0004052	1084617968.2428
RPL32	94296186.408971	276028610.565799
ALG10B	767569.137567314	31044669.8865273
CALM3	7436960.11106282	1491716132.21478
TBC1D15	771248624.958012	42862408.5173358
AP1G1	19914946.2313572	190059378.409433
PCYT1A	3022248.93944857	1950337040.50685
CLASP2	108099030.212974	13568382.1255196
TRIP11	43104912.2275614	110938160.481031
LANCL1	736859906.591796	34233074.3474958
CHUK	837100224.108696	177711630.760474
LRRC8A	14177748.1447302	30631894.6159058
HMCES	183732601.983165	94931797.4836111
FRY	13551870.7811221	0
RRAGB	472671782.649592	58872264.4809083
RTTN	126615988.206174	17276830.1341225
PLRG1	78500203.0604934	1581624836.32728
RPL29	17051368.9431952	514110270.046625
ATP5F1A	202890101.052654	14347165.8084061
PWP2	1376880999.69927	39541902.1993055
PPP1CC	0	68599291.3638288
ABCA1	203054257.780679	195613236.909789
LYST	209497159.723079	70637532.4484804
MAP3K6	63995295.0968761	315804541.336004
TASOR2	863083849.144916	19276156.18039
OSBPL2	196807674.720618	132226347.20515
SDCBP	2201717284.79893	3826453150.01769
TSNAX	5340911.18869911	281514053.609108
CDK13	1640322345.94367	245206235.045221
MORC3	14036456.7451464	224525899.415137
ERGIC3	1211675557.86329	120306941.85235
RPSA	51294622965.1511	815151235.557811
PREPL	6975432.34602124	158474838.787527
RPL36	1310759406.35418	3509084.6954352
PXK	73745224.6427006	70136686.1526546
BUB1B	517892726.691905	325314872.417636
MICU1	57762628.6278728	278478023.437583
ARIH1	117851216.41306	14144051.4995012
NRBP1	82938296.4575481	1156825109.97253
PPP1CA	0	2990714350.925
ORC1	65335540.9826247	79582342.6901162
SRP54	7437240.47783395	777137052.767269
GTF2H2	2794282778.45286	208052912.027017
PARP2	9859346.15905341	16593900.620634
UCKL1	55797820.6851825	45873636.6944824
IMPDH2	33418958.8479682	75965169.8631263
DNAJC13	58322877.473997	71024442.4310893
GLG1	10795244.2893456	2094922.48710209
TUT7	3540660.99309017	51670033.3459219
LMO7	1857154.90685	86391247.7664618
NDUFB10	41260141.0160484	8384546667.24809
LOXL3	236103790.406224	76765651.7390248
TRIM33	10959842.6972856	64611998.5109863
ABLIM3	283296840.688733	59602433.4323222
ARFGEF1	76108138.0570163	21297567.8038
ENO2	0	169772095.986445
RRM2B	212384.349192854	1752500.25036877
SNTB1	538402941.662798	17060651.5276865
MAP3K1	520598000.482524	12715439.6670962
NCLN	50745070.4557416	155364482.642374
RFC1	1423915436.40788	91594040.3235668
TRAF7	8623830.8998925	65577975.9824769
BRF1	147695389.343232	357760943.560536
KDM4C	3801825.17067789	59421230.9044175
THOC5	21526863.6629043	160865819.679025
UBXN4	2988833.25535914	501017726.108816
ITIH3	14624758.2138204	4099023.08555142
SNRNP70	143802491.655381	54509256.1112334
GTF2IRD2B	49011446.9760882	8542400.39827631
PPM1G	61562115.0056654	693685970.19566
SHC1	61991384.8261572	487106144.042043
FKBP10	2632407208.89571	11706728.1184522
USP5	0	84107402.2330549
RNGTT	0	250678889.380674
SLC16A3	7758777.92222273	38993636.4854656
CA9	13224637.5572689	16998543.7849244
ELP2	195076294.336686	404660497.675831
0	1359798679.74737	488601275.444196
CPLANE1	235991193.877726	0
NFAT5	169164514.76373	474960739.763413
TERF2IP	6378333273.82615	65895837.03624
GOLGA2	19777399.294141	110760889.279127
RERE	757231507.48021	371033309.649107
RPS16	1648113514.55209	1685878148.60996
TIAM2	0	90180560.4144114
NFKB2	827963893.454797	22322140.8638946
HDAC3	220284764.242558	309767710.570124
DAP3	24605843.3232445	8504670.43324238
DYSF	38750763.6325347	9975367.79472852
MAGEA9; MAGEA9B	7138677.77938427	14706225.8926383
HSPA9	79141094.1325275	31255466.7817107
PRICKLE2	2145687063.13884	42566926.8072179
CLUAP1	383830758.221688	119548189.733992
ATF7IP	477864235.094752	346249225.376337
SAMD1	109862613.208511	55147046.021753
FLOT2	168091035.009261	279989770.342508
CLIC1	93686168.1072959	1215636457.82583
SREBF1	264000913.231767	471441658.963408
ALS2	58425137.8485286	281164828.457051
YEATS2	13082184.6449964	92620229.4449497
SNRPD2	25966611.0653475	101767931.048779
KPNA1	2228710.08932267	73048202.3836762
KIFC3	19489029.4011818	11502367.0253398
SEC23IP	326372733.625484	243117152.541363
MTA1	143767345.556371	7860194.83318564
NAA15	126283606.064375	26141463.0372694
PPP3CA	153927632.858995	496405681.362355
CDC25B	467169650.609278	125687624.798411
ITGA5	456514458.285147	18368512.7544146
ALDOC	10178493.1416842	197289553.571547
KRT86	0	8224796.28458542
MRFAP1L1	0	3212775.30575446
DNM2	52800818.7169631	1864529572.01079
CHPF	878440708.582177	22082487.2369813
RRP12	343851740.677838	177705387.989404
INTS11	1350351044.59614	325568820.966965
NDRG1	103218191.38701	383720423.936489
0	244019870.255	108543276.875909
CDC73	930948.778476169	162967583.562005
TMPO	44135407.5200651	301622513.132161
TRIM38	3885023.68929363	157129915.689344
FBXW11	94070969.0873337	163386354.449498
TMEM245	27606685.5291708	88208184.6547205
USP47	152351051.96631	77464844.1820388
GDI2	52580935.5334093	37861048.5739719
CIRBP	344993017.111258	26168556.9957855
AK4	13032108.7027023	3283216.83706542
METAP1	483325905.203623	74780120.9102172
NDC80	79464365.0872007	3490473166.04886
PLS1	72214253.6094183	157609182.553537
OSMR	591421092.387953	14005600.4797706
RANBP9	1991313731.57523	427538445.968496
NUP37	98027859.2075042	43173188.7796703
LRCH3	176041666.765985	189912270.417502
TDRD7	43872341.0765026	44651611.4328595
DDX56	395271650.065754	490679670.106018
KIF22	2276234607.4023	65170942.1015913
DPP9	10143179.8940664	607749464.404575
PGM3	1901320.93571101	51867488.2994836
FAF1	254977182.138302	5310656.88876861
CPD	48348591.2338259	1102153845.4004
RAPH1	208094984.463571	13281096.6206841
PLS3	273106360.603528	140823882.699222
NPRL2	36927831.2640871	2003834571.19051
MAN2C1	1213724028.83689	103337658.743129
SPTBN2	48188158.7142106	0
HMGCS1	663969425.992994	30848114.3197259
PTGFRN	755867983.656124	0
GGNBP2	26469985.097822	209958546.436474
TGFB2	4429406324.55238	16484951.8961388
MAPK1	1043536224.08638	32174228.4218145
PFKP	6754355.21118496	25705372.1173771
CSRP1	12671574.5703768	518669413.824847
COX6B1	0	562685635.134036
ICE2	21763047.6942061	24588768.4719495
AIFM2	180852110.522058	3960315.88272752
SBNO2	56781603.386737	961605924.409416
RASA3	320913010.415895	61658535.1246918
CAPN2	1948279.81448702	101047742.538551
RPL34	65570456.612764	206068470.967844
ZYG11B	38683171.6732032	1255256728.4418
FBXO11	329681166.570379	13582280.4697139
CMIP	89298033.7420181	37396695.188117
WDR81	63382295.2658444	126728005.535262
KIF7	66048158.3767675	84706808.8757857
RPL35	25272008.6151011	941321409.208604
ATL2	536236378.325993	341634354.604094
MFN1	114599949.474237	72756391.6206705
UTP4	673556313.883749	1011006700.21482
HYOU1	122315164.769991	32709202.9168433
ACSL1	272796996.5419	5203957.80488384
WASF2	6327024.96225582	194784328.078664
PPP2CB	510771759.43491	79221372.6382662
RPL9; RPL9P7; RPL9P8; RPL9P9	24935831.884985	106685727.885699
FKBP9	84785033.4016399	1416941493.46605
AFDN	184494669.699759	10959559.9752508
SNX2	348533950.828858	214211739.378487
KLHL20	17749745.5401692	11958885.1029931
SPAG9	455492298.209263	35724611.7677458
FRAS1	4148596.03301613	29199026.7668701
KIF13B	20055057.7953826	154131256.228792
CANX	323700769.878118	20075581.5465086
PCDHGC3	1513604915.50101	169881198.68584
ZFP36L1	741825929.493542	34490400.3098715
SBF2	49044255.0049483	65990846.9768498
POLR2G	154607388.073662	229789503.043876
SIN3B	8037632.51258676	13141909.8656612
MINK1	11632382.7583761	1659711092.26903
NCK1	45350598.7761781	12183524.0571065
FUS	404063631.700144	53465104.258047
TUBGCP4	57182102.9487123	906122986.857011
PSMC1	4993370.98739139	268492507.694246
AP3B1	19560297.1193828	158706974.132808
AMFR	331404757.968929	334183437.583547
CAPZB	6595112.62245697	63310004.0169924
GNB5	1430910297.35291	4554929378.15069
PHKB	594549.792902034	64249071.3090293
CKS2	553249901.112664	9620653.28560678
MB21D2	75675436.6029549	117946406.558112
HBP1	1380331463.03966	12238070.883373
NAP1L4	3144100.91655642	946988.807343251
VPS35L	67206436.0094641	493422244.651723
EPB41L3	272858250.039617	0
TNC	191308389.764874	172623433.623808
ZW10	87972492.5467607	178090463.112994
PTPRK	46394056.3725559	53429144.601222
0	0	19999892.3474847
TCP11L2	37129555.0639822	614833516.075895
PAFAH1B1	0	118812799.013094
DDX39A	0	24280286.1006225
NAPA	22385702.4201784	16338279.7099394
SNX7	38204630.8374014	267330675.236877
ZMYND8	100526555.988218	631504385.732974
FZD7	20929962.9001001	30056611.9656637
ECD	84409305.9087805	1113134751.26733
AP2A2	0	15348385.2963302
EPHX1	5309669.99680965	480581331.363363
ALB	39802847.5713344	19192539.9913759
ALMS1	31990198.1302086	8096409.58285194
PPP6R3	431487446.420536	129078123.543131
NAT10	77188959.9979437	2502708.22999841
GEMIN5	111194875.063321	29362939.6945684
DYNC2I2	666241063.950432	26497090.5560958
HPS5	113715592.292633	344590929.280236
EHD4	969189.763409924	454087230.659616
DNAJA2	0	517259306.155083
ZFYVE16	6305437.03392426	245332579.542
ATN1	573731923.05059	7090813.65267312
KLHL22	78051165.8011291	6939312.03720081
SMTN	431500183.972331	227971558.970639
ASL	3008001.97600434	200070026.691686
KRT80	1869755.05991555	568755116.502123
CEP104	43556177.7539531	96936918.431922
SLTM	402452702.624486	37286922.2972241
AGO1	0	5269925.03570851
RPS15A	620560215.790533	93620312.7417687
MAP3K4	2096161.97833237	15564229.182777
ELAC2	261622869.177054	55499811.0305038
TNRC6A	174089883.212134	176852085.916067
TPP1	1277745022.19707	8376139.67950006
EPS8	36685267.3158407	105153508.125271
BBS2	34420717.528766	1044428827.62565
STXBP5	32333746.6739907	134830908.392025
KLHL25	4422412.8048803	163199389.056182
AP2S1	66526270.3988125	681339563.595982
NCDN	5825367.89434127	412437492.636228
ADD1	257797889.077856	186726971.817835
AHCYL2	93727601.2303556	0
RSBN1L	216576218.509091	13300189.6532494
STAMBP	2686804.19562944	986160860.469108
FBXO32	762389899.014249	1775235373.9335
ACACB	147844.098210786	14791007.0262032
PA2G4	12429584.4691897	213885178.81045
YWHAH	0	567558142.139424
DNTTIP1	7708841.72892672	44218960.1545806
GUCY1B1	14346053.0266694	29131413.6688788
STARD7	0	25318313.1910079
EIF5B	34206088.2890531	145091949.720247
COG3	8811395.39628263	128707491.481602
TLE5	1926153.35419345	209356126.655428
ZNF462	213713473.265773	19339354.059853
RPS6KA1	5220628.92139994	21055602.1335921
LACTB	29017453.6808163	5426811.64877213
TRAPPC10	117661013.254176	6397184.95236171
CNDP2	57349587.9743917	268858857.365022
AGO3	94155544.6634623	0
MRPL37	171573648.70686	552436938.773653
SGSM2	12453317.4177771	7105939.15896715
TRIM27	13443115.0087864	51292821.0963792
N4BP1	20824444.6739354	63638163.6645607
SEPTIN6	37251841.9967019	4854137.87300519
CUX1	58569033.8108685	3049737.29982085
TENT5A	41554268.1742755	274807075.174521
SRP72	757757554.399175	160209218.588468
PIK3R1	22964897.964996	316423819.302486
TUBGCP3	767722.068974814	102849202.688982
EMG1	477639572.56347	163573558.930067
FBXO38	169992788.708661	5441062.58142471
FIBP	6007587.68469614	85472271.9877185
TTK	5732438.27479669	7435395.931279
SATB2	12786267.8334114	139220990.940667
KDM3A	87198862.5781641	113073509.173791
FIG4	13653442.3757924	998418166.487562
PSENEN	417361001.872711	1287801748.23637
POLA2	3285629.35919734	579466223.510614
RCN2	6429463788.01737	219198363.246535
LAMB3	162674446.965618	125901011.744534
MCM8	43429030.7641495	36734740.8835959
ZEB2	13424471.9249678	27134461.504403
DPYSL4	21868421.7570043	4638206.4184993
CBL	3348940.4604258	32755452.7353868
YY1AP1	184713914.546813	7974342.02333111
CLCN3	74882859.7343737	72752996.0646103
PRKAR1B	81965509.9883134	0
CLEC16A	48380004.528367	52617678.4146791
NSUN5	1856098545.80909	6781087.80535699
ZC3H7A	155021505.118019	35187196.1277268
CEP55	2090786837.77183	120871358.389833
RBM7	2066595415.58667	21072873.3053203
RO60	9480257.05394715	18851583.8545157
GPD2	193519999.186917	225139964.374597
XPO4	45160771.1289041	120320886.920566
POLR1B	33066007.9637206	1087546062.03347
DCTN4	3226075980.27411	221255156.246002
UNC93B1	41642383.1583995	443336050.624493
TCERG1	394947856.946492	12721741.1013485
PFKM	105268193.419322	4111124.92534606
RHEB	24027944.5783122	359985890.936611
PPIA	179014030.57998	23157094.8464951
BAG3	6871393970.78441	10175917.8411781
CDK12	30314177.3441916	69159785.2814988
UHMK1	491858729.527707	599052297.909111
PI4KB	46124891.443635	83509415.8276956
TMEM147	2248306.51007208	552331186.160847
IGF2BP2	15406369.626403	1440954740.07026
ZBED5	136332561.228301	1040535858.82833
YWHAZ	0	6950294.12971427
PSMB2	0	37236795.8764457
PIM1	695463528.026343	595415679.072298
NEDD9	193122751.012059	57970963.7143577
NDUFC2	67142866.8383788	1483731.622418
THOC6	0	33858210.4231209
ACAP2	1681655141.74888	237968681.642701
MRTFB	46640401.197453	1219150119.84987
YLPM1	591309254.516166	22150462.7398434
UBE2D3	2677462559.38579	3592005.05308333
NBEA	33934871.8676877	16362467.8551968
SIK3	115311391.455828	47898463.3435038
POLR3E	639715675.781088	94195931.3908525
MIB2	10802899.3590954	36432506.1365552
PDE4D	70586039.8436793	75533369.6628066
LRCH1	35210641.7944303	4698446.524577
COX7C	43100458.3892837	60153099.2080331
PPP2R5C	361797.794592653	43351035.413481
PMS1	159077646.734648	209701663.71474
DAPK1	2941445.33304713	20942360.5769768
RNF139	817669284.949099	62868564.2196118
TTC17	130167039.069129	20035817.8391947
PHF8	6827997.8338606	59301016.5317843
TRO	13084082.9465671	46164849.3027894
NOL9	334262955.853895	81297437.8636451
EXOC7	52595804.1641183	4648919.3377438
GDI1	0	29382638.5116896
EIF3G	381280058.32636	23670591.6052471
VPS52	242235674.466475	248252940.420498
LAMA5	140978764.140216	13218532.7267211
NPEPPS	21087064.191093	229908336.73261
NARS1	169867001.847563	23668026.607084
SMARCC1	8345172.31006948	82517921.1465569
RBM12B	119296183.591355	114192981.045866
SAMD4B	50305178.8381478	184483037.794112
UHRF1	33932078.925822	430365908.190619
GSDME	189388505.873011	229630144.647149
RAC1	11220119.9500153	508471107.722216
TCEA1	4381989891.81863	1543421003.96341
MCF2L	69494696.2827219	395771331.282111
PON2	194810864.291175	93023833.8854527
TIPARP	23504022.7518434	63358446.7303837
NUP62	3098378.53524121	34364928.5468269
TCHP	10690141.7380575	116210336.964893
PSMA2	15950799.2267313	42879182.130927
ADAM15	404895003.673773	1991827.41667172
NNMT	0	13574397.7195322
ARAP1	102390273.200354	23833757.8857759
ATP5PB	20987870.1621153	132583580.992902
TFCP2	45941133.5153794	387951424.857281
COP1	279240165.654655	20034073.8572142
ELMO2	158414656.358272	93762396.5682642
DLG5	69883684.0308499	119371403.684358
FARSB	81886522.7243088	7888834.34960631
SETDB1	50547924.9182026	103269857.634567
PANK4	2572178.08279038	25099930.0023499
MAP4K3	0	62921564.4932554
SLIRP	90637697.1559736	27835553.7682174
USP37	24180716.1828545	109428965.750294
PHKA1	74804724.3192287	61092510.5215678
DOCK11	724483992.528911	47976620.5004346
DDX42	226080182.95067	58770891.61007
ZMYM1	21536785.0856496	211046259.208315
RUVBL1	4728003389.91	16219320.2966329
STRIP1	503267795.66901	22503529.1091273
UBXN7	151580930.36984	66265252.7438852
RPL18	15869912913.5479	4556207.0537728
PSMA1	6672537.998577	18640095.0625285
WDR33	33444757.353997	10668550.0803299
SERINC3	85719382.0573144	95586672.8047232
NEK7	497957336.332703	83574371.2424504
BLTP1	64658346.8891634	28308129.7505461
PML	170234555.897472	73344629.3259127
0	95201208.4194404	9239975.57628734
MAGEA11	22486606.7354482	2831941559.98595
MED13L	2291122.46285071	26120448.8596971
ERCC2	160453595.636644	150605534.523646
GATAD2A	35439084.5125217	60552834.3401203
TBC1D9B	21944969.6269864	1323579076.87646
ATP2B4	87778982.1479458	155307826.621084
SDAD1	3039339.00852178	18281292.5079562
RFC5	24983083.9162766	743792614.73056
YME1L1	276192702.863061	646406609.11585
TARS3	423326779.030345	2018353.45016116
ETNK1	77714279.7755552	10288890.5848837
DEPDC1B	0	508236130.153718
TPM2	4520166.35719173	1138230665.20263
SEMA4F	440195481.438706	11452038.7310801
SERINC1	588290.541991525	97757567.3950175
CORO1C	39032237.6614065	292948739.674544
LIMS1	336912548.034003	164811734.28998
NR2C2	15642354.8515498	15013176.5106929
NIBAN1	22902462.5145056	688416591.860106
RASSF1	505575284.181852	84678777.6936012
TXLNA	112812986.969338	1023084853.94928
TONSL	202137106.565098	54793346.1811597
EIF3F	154869450.33236	1292381391.67927
YTHDC1	259783436.275347	18895102.0874648
WDR19	11510313.3056549	1206877672.86557
SNTB2	1897465645.73763	142755936.918874
TMEM132A	104997739.715568	124892510.3895
NFIL3	414425763.265032	124589649.681229
CCDC93	102722062.71506	821049580.234078
PRPF3	2733741.56590656	314026931.728533
UFD1	46783413.383992	1026089715.85092
AP3M1	34663339.7931943	173107652.524348
NUCB1	121419729.689242	34362592.7457871
KIFBP	256039397.650241	85075163.2516209
PLXND1	42590984.3267165	50335157.4344877
RAB3GAP1	579261361.246145	98728733.2253288
STAM2	30003929.9647299	154515077.1809
YTHDF3	107931043.851993	57907757.914703
GNS	208729365.752497	175249844.586331
DROSHA	52057002.9405836	122218694.306467
CDK6	5076957.50383045	1033325041.45991
AKAP13	1844627218.893	792730536.774341
PPP2CA	123585487.177702	2355643.90964307
TRIM23	168552332.400646	86423338.2266744
CIP2A	5257349.62311891	103514039.781095
SHCBP1	4292023.39147866	1867471010.93452
DCTN2	1121031149.68886	24607275.4728802
PTBP3	284137137.785615	11440320.9765573
CASK	2943003492.72949	11085209.5663918
PCBP3	42603308.5557674	0
RNH1	1043572557.93426	7516260.13754605
CPED1	100778847.047853	44785508.3119713
ACO1	532151.12290686	22018364.4530494
CNPPD1	95458287.9011658	202506844.969681
ANKFY1	3443269.15998453	179542821.057918
ABCC4	8126645.83553781	46494452.0251696
RPA3	8794792.43876122	2070959812.42487
PUM3	5215562.22702928	71207769.2128513
TMTC3	952675518.410115	66812983.7063005
ALG3	460668728.214865	171340345.672756
KIFC1	1093566052.07042	343768503.477288
TBC1D2	10186434.5649753	1436418616.73761
GSE1	147420579.302914	157302235.28445
KATNIP	105826578.557348	150265590.505179
LRRC58	502305831.075214	0
CDC40	86611217.9808006	98809614.1112086
MYO1D	46420631.7173053	13239756.7844089
NQO1	455549672.589074	228591505.473953
ATAD5	385111300.155445	105698518.32592
RPA1	87061472.1298993	323385935.956485
DCBLD2	174337164.875253	432464050.020582
PFKL	60009141.6375456	4098194.2160674
NEK6	3960218.57645869	137992413.248138
SLC12A4	181510882.024759	100570970.268864
VPS50	67837221.7951062	59133821.5553689
MAGEA3	4951148.82888342	122897969.499969
EIF6	155757823.969176	6283129.175205
ARMH3	1769309910.79535	60564211.6881666
PSMD14	494120223.377795	2416094731.3428
PSMD6	95749717.3596115	174359864.449092
SMC6	598749266.705852	153810992.663856
EXOSC5	1223943275.01483	41504927.3770585
ELOVL5	18289443.826916	18484301.7735609
SS18	1382283664.77895	84524890.8845101
BRCA1	32785565.0949056	265148885.448746
DOK4	647532378.199469	50289717.6177675
DYNC1LI2	449179480.439502	186841234.757771
PCNX3	3513356.36792343	250175825.22956
MYO1F	0	6696809.168308
PSMA3	114754796.612674	230755063.897602
TTLL5	32503201.5402417	15986866.0983324
TNS2	39338244.4433378	177160338.877127
MPDZ	159264593.907892	36988137.4487322
PSMG1	739828201.737708	0
PSMD5	20746103.3745093	2174917.07615241
SPCS2	13074001.0533368	1455102019.57547
DPY19L4	188859079.823773	74492985.1323477
RBM4B	359363223.611714	9795978.66706318
WDR12	12901614.3971442	378629853.800453
RIPOR2	9431860.10035489	492999.774692629
ECT2	64138806.0536453	112873087.085384
VPS51	534919112.757519	602576678.522925
DAPK3	19328739.092663	354475441.289231
PATL1	16461587.7975122	221245747.224054
TECR	112194111.272051	9840243.38315526
NSFL1C	397390837.600111	11341444.9862367
DDX50	1443302.52541151	40751219.6362114
GTF2H3	77262880.5343007	127747712.653564
MPP1	25627429.3213368	1155922332.5247
SAR1A	28376619.0979956	42795513.0434433
ARFGEF2	31226667.8128086	16958059.3229971
APH1A	127271217.458053	85118230.6746173
RANBP6	118128104.98758	495766526.194311
RPS27	216887198.604919	1491694.2963884
SHQ1	35921636.6554114	239411856.271058
ABHD4	52308726.9954828	21855009.9369036
SAP130	752703764.845357	57031963.0695051
BRIP1	509772716.270364	25044379.4003395
DIS3	16055596.2314742	100451874.485919
TMEM70	61104312.4782613	33350796.1758518
RTN3	0	273290186.315879
TMEM33	16336364.6092303	226157614.675152
